date,num_cycles,avg_cycle_profit,max_cycle_profit
01-01-2025,93,1.000512576,1.003685786
02-01-2025,1064,1.000059828,1.002743744
03-01-2025,366,1.000034596,1.00029146
05-01-2025,9,1.000048992,1.00013264
