cycle,log_sum,profit_multiplier,timestamp,date
EUR → GBP → EUR,-2.989755306373465e-05,1.000029898,2026-06-03 00:16:00,2026-06-03
GBP → USD → GBP,-1.1962928443909338e-05,1.000011963,2026-06-03 00:17:00,2026-06-03
AUD → CHF → EUR → AUD,-1.9290800470778136e-05,1.0000192909865395,2026-06-03 00:36:00,2026-06-03
HKD → CAD → HKD,-5.340019532007467e-05,1.000053401621136,2026-06-03 00:38:00,2026-06-03
GBP → USD → GBP,-8.414964594027907e-06,1.000008415,2026-06-03 00:46:00,2026-06-03
GBP → CNH → USD → GBP,-1.525327897955453e-05,1.0000152533953115,2026-06-03 00:47:00,2026-06-03
USD → JPY → USD,-1.8757913495370815e-05,1.0000187580894262,2026-06-03 00:53:00,2026-06-03
CAD → AUD → CAD,-1.5511879690121265e-05,1.000015512,2026-06-03 01:04:00,2026-06-03
USD → CNH → USD,-7.3917970269121724e-06,1.0000073918243464,2026-06-03 01:10:00,2026-06-03
USD → HKD → USD,-3.828393535965091e-06,1.0000038284008643,2026-06-03 01:18:00,2026-06-03
HKD → USD → GBP → HKD,-2.8684044283022736e-05,1.000028684455674,2026-06-03 01:21:00,2026-06-03
USD → EUR → AUD → CHF → USD,-3.485478527809338e-05,1.0000348553927132,2026-06-03 01:23:00,2026-06-03
EUR → CHF → USD → EUR,-2.2209476984710874e-05,1.0000222097236169,2026-06-03 01:23:00,2026-06-03
EUR → AUD → EUR,-1.9826803447642316e-05,1.000019827,2026-06-03 01:40:00,2026-06-03
USD → JPY → USD,-6.255532224663796e-06,1.0000062555517906,2026-06-03 01:41:00,2026-06-03
CHF → HKD → USD → CHF,-5.76529483471977e-05,1.0000576546103104,2026-06-03 01:44:00,2026-06-03
HKD → CAD → HKD,-1.0761716666252141e-05,1.0000107617745737,2026-06-03 01:45:00,2026-06-03
HKD → USD → SGD → HKD,-5.894796730998575e-05,1.0000589497047756,2026-06-03 01:58:00,2026-06-03
JPY → USD → JPY,-1.2510947076549428e-05,1.0000125110253388,2026-06-03 01:59:00,2026-06-03
HKD → CHF → HKD,-4.0080089635630145e-05,1.0000400808928531,2026-06-03 02:08:00,2026-06-03
EUR → CNH → USD → EUR,-3.0608406133836308e-06,1.0000030608452977,2026-06-03 02:11:00,2026-06-03
USD → EUR → USD,-5.549984598840485e-06,1.00000555,2026-06-03 02:21:00,2026-06-03
USD → JPY → USD,-2.5022520262929504e-05,1.0000250228333287,2026-06-03 02:22:00,2026-06-03
EUR → USD → JPY → EUR,-4.5228481685144484e-05,1.0000452295045084,2026-06-03 02:23:00,2026-06-03
USD → GBP → USD,-5.9418234701791306e-05,1.0000594200000001,2026-06-03 02:42:00,2026-06-03
USD → JPY → USD,-4.378571271868026e-05,1.000043786671327,2026-06-03 02:45:00,2026-06-03
EUR → USD → EUR,-2.201575765153896e-05,1.0000220160000002,2026-06-03 02:47:00,2026-06-03
USD → JPY → USD,-5.0041597083883005e-05,1.0000500428491854,2026-06-03 02:50:00,2026-06-03
USD → GBP → USD,-1.9279981414710434e-06,1.000001928,2026-06-03 02:53:00,2026-06-03
USD → CHF → USD,-2.4469817611671996e-05,1.000024470117,2026-06-03 03:10:00,2026-06-03
EUR → CNH → USD → JPY → EUR,-1.9230697012817544e-05,1.0000192308819238,2026-06-03 03:14:00,2026-06-03
USD → JPY → USD,-6.254671458094663e-06,1.0000062546910187,2026-06-03 03:16:00,2026-06-03
USD → EUR → USD,-7.99996800018854e-06,1.000008,2026-06-03 03:26:00,2026-06-03
HKD → USD → SGD → HKD,-0.00010986070444565788,1.0001098667393538,2026-06-03 03:29:00,2026-06-03
USD → CNH → HKD → USD,-3.1571270150743125e-05,1.0000315717685286,2026-06-03 03:30:00,2026-06-03
CNH → HKD → USD → CNH,-6.515533991310885e-05,1.0000651574625683,2026-06-03 03:31:00,2026-06-03
USD → GBP → USD,-1.817683480032084e-05,1.000018177,2026-06-03 03:38:00,2026-06-03
USD → JPY → USD,-6.254280272344204e-06,1.0000062542998305,2026-06-03 03:44:00,2026-06-03
HKD → AUD → EUR → USD → HKD,-3.39749426035707e-05,1.0000339755197585,2026-06-03 03:45:00,2026-06-03
CNH → HKD → USD → CNH,-4.3525581823411486e-05,1.0000435265290752,2026-06-03 03:48:00,2026-06-03
USD → HKD → USD,-1.2760717407189759e-05,1.0000127607988254,2026-06-03 03:52:00,2026-06-03
GBP → USD → GBP,-2.4211706894317064e-05,1.000024212,2026-06-03 03:54:00,2026-06-03
USD → GBP → USD,-1.9279981414710434e-06,1.000001928,2026-06-03 03:55:00,2026-06-03
EUR → CNH → HKD → EUR,-6.239838892613259e-06,1.0000062398583605,2026-06-03 03:57:00,2026-06-03
USD → GBP → USD,-1.678385915021563e-05,1.000016784,2026-06-03 04:01:00,2026-06-03
EUR → CNH → USD → EUR,-1.6435284648147475e-05,1.000016435419708,2026-06-03 04:04:00,2026-06-03
GBP → USD → JPY → EUR → GBP,-9.440936542479128e-05,1.0000944138221293,2026-06-03 04:06:00,2026-06-03
USD → GBP → USD,-4.461100491437442e-05,1.000044612,2026-06-03 04:11:00,2026-06-03
CHF → USD → HKD → CHF,-1.0912998149037456e-06,1.0000010913004103,2026-06-03 04:17:00,2026-06-03
JPY → USD → JPY,-1.2509616754030617e-05,1.0000125096949997,2026-06-03 04:19:00,2026-06-03
