cycle,log_sum,profit_multiplier,timestamp,date
JPY → HKD → JPY,-1.4656345372454638e-05,1.0000146564527772,2026-06-04 00:11:00,2026-06-04
HKD → CHF → HKD,-1.929825078406111e-06,1.0000019298269405,2026-06-04 00:14:00,2026-06-04
JPY → HKD → USD → CAD → JPY,-6.699187411918217e-06,1.0000066992098515,2026-06-04 00:15:00,2026-06-04
HKD → CAD → HKD,-2.157929708235251e-05,1.000021579529917,2026-06-04 00:17:00,2026-06-04
CAD → HKD → USD → CAD,-2.6127581287171964e-05,1.0000261279226155,2026-06-04 00:18:00,2026-06-04
HKD → CHF → HKD,-8.036242441278318e-06,1.000008036274732,2026-06-04 00:20:00,2026-06-04
USD → JPY → USD,-1.2505001991236497e-05,1.0000125050801791,2026-06-04 00:21:00,2026-06-04
CAD → HKD → CAD,-3.1620767193762944e-05,1.0000316212671354,2026-06-04 00:26:00,2026-06-04
USD → JPY → USD,-6.2522859893832106e-06,1.0000062523055349,2026-06-04 00:31:00,2026-06-04
SGD → USD → CAD → SGD,-8.157225508814703e-05,1.000081575582195,2026-06-04 00:35:00,2026-06-04
CAD → HKD → CAD,-2.530952463120073e-05,1.0000253098449199,2026-06-04 00:41:00,2026-06-04
HKD → SGD → USD → CAD → HKD,-7.852383024037346e-05,1.000078526913317,2026-06-04 00:42:00,2026-06-04
HKD → USD → CAD → HKD,-8.36663992759279e-05,1.0000836698994067,2026-06-04 00:49:00,2026-06-04
CAD → HKD → CAD,-1.815407059524432e-05,1.0000181542353814,2026-06-04 00:53:00,2026-06-04
HKD → JPY → USD → HKD,-5.900153761917437e-05,1.0000590032782442,2026-06-04 00:54:00,2026-06-04
USD → CAD → HKD → JPY → USD,-4.673733687154957e-05,1.0000467384290779,2026-06-04 00:55:00,2026-06-04
USD → JPY → USD,-3.751829016085395e-05,1.0000375189939807,2026-06-04 00:57:00,2026-06-04
CAD → JPY → USD → CAD,-1.3669395551973995e-05,1.0000136694889785,2026-06-04 01:02:00,2026-06-04
HKD → USD → CAD → HKD,-3.226871648615015e-05,1.0000322692371268,2026-06-04 01:04:00,2026-06-04
USD → JPY → USD,-1.876037682535525e-05,1.0000187605528024,2026-06-04 01:08:00,2026-06-04
USD → CHF → USD,-3.835098354776356e-05,1.0000383517189562,2026-06-04 01:11:00,2026-06-04
HKD → CAD → HKD,-1.6087119921959214e-05,1.0000160872493205,2026-06-04 01:12:00,2026-06-04
HKD → CAD → HKD,-3.1099301516013256e-05,1.0000310997851043,2026-06-04 01:15:00,2026-06-04
HKD → CHF → HKD,-5.8733627341212014e-05,1.0000587353521944,2026-06-04 01:17:00,2026-06-04
HKD → CAD → HKD,-3.285367161676156e-05,1.0000328542113046,2026-06-04 01:18:00,2026-06-04
HKD → CAD → HKD,-2.187446888624045e-05,1.0000218747081342,2026-06-04 01:19:00,2026-06-04
CAD → HKD → USD → CAD,-1.9456136562401305e-05,1.0000194563258342,2026-06-04 01:21:00,2026-06-04
HKD → CAD → HKD,-2.2958744783529994e-05,1.0000229590083376,2026-06-04 01:23:00,2026-06-04
CAD → SGD → USD → CAD,-2.252419722784116e-05,1.0000225244508996,2026-06-04 01:26:00,2026-06-04
EUR → AUD → EUR,-1.4017701751412037e-05,1.0000140177999999,2026-06-04 01:29:00,2026-06-04
USD → GBP → HKD → USD,-7.637607436439264e-06,1.000007637636603,2026-06-04 01:30:00,2026-06-04
HKD → CAD → HKD,-3.325684847999e-05,1.0000332574014952,2026-06-04 01:31:00,2026-06-04
HKD → CAD → HKD,-3.223837329202617e-05,1.000032238892954,2026-06-04 01:35:00,2026-06-04
HKD → CAD → HKD,-4.099451896077966e-05,1.0000409953592475,2026-06-04 01:37:00,2026-06-04
HKD → AUD → HKD,-6.071341099644911e-06,1.0000060713595302,2026-06-04 01:39:00,2026-06-04
SGD → AUD → HKD → CAD → SGD,-6.582098635721234e-05,1.0000658231526058,2026-06-04 01:39:00,2026-06-04
JPY → USD → JPY,-1.876272347178798e-05,1.0000187628994928,2026-06-04 01:41:00,2026-06-04
HKD → CAD → HKD,-5.634419161659743e-05,1.0000563457789804,2026-06-04 01:44:00,2026-06-04
HKD → CAD → HKD,-2.5083887993826437e-05,1.0000250842025973,2026-06-04 01:45:00,2026-06-04
JPY → USD → JPY,-1.2508677887268504e-05,1.0000125087561211,2026-06-04 01:46:00,2026-06-04
USD → CAD → HKD → USD,-3.439322765647068e-05,1.0000343938191103,2026-06-04 01:47:00,2026-06-04
HKD → CAD → HKD,-1.0764346916491974e-05,1.0000107644048524,2026-06-04 01:50:00,2026-06-04
HKD → CAD → HKD,-1.7292764743714883e-05,1.0000172929142643,2026-06-04 01:52:00,2026-06-04
SGD → USD → HKD → CAD → SGD,-1.8511788713357347e-05,1.0000185119600575,2026-06-04 01:53:00,2026-06-04
HKD → CAD → HKD,-2.7159057499392958e-05,1.00002715942631,2026-06-04 01:54:00,2026-06-04
CAD → HKD → USD → CAD,-3.3642492190011364e-05,1.000033643058105,2026-06-04 01:57:00,2026-06-04
HKD → CAD → HKD,-2.1358487030553874e-05,1.0000213587151248,2026-06-04 01:58:00,2026-06-04
USD → GBP → HKD → USD,-3.0633500291976645e-08,1.0000000306335008,2026-06-04 02:00:00,2026-06-04
HKD → CAD → HKD,-2.7764753671499776e-05,1.0000277651391158,2026-06-04 02:02:00,2026-06-04
HKD → CAD → HKD,-3.234998197121364e-05,1.0000323505052375,2026-06-04 02:03:00,2026-06-04
HKD → CAD → HKD,-1.867697190327533e-05,1.000018677146319,2026-06-04 02:08:00,2026-06-04
HKD → CHF → HKD,-1.5168068199677975e-05,1.0000151681832354,2026-06-04 02:11:00,2026-06-04
HKD → CAD → HKD,-1.306971346082264e-05,1.0000130697988698,2026-06-04 02:15:00,2026-06-04
USD → JPY → USD,-1.2507660935412446e-05,1.0000125077391566,2026-06-04 02:15:00,2026-06-04
HKD → CAD → HKD,-3.6092310217394896e-05,1.0000360929615526,2026-06-04 02:17:00,2026-06-04
CAD → HKD → USD → CAD,-6.069944428432894e-05,1.0000607012865328,2026-06-04 02:18:00,2026-06-04
HKD → CAD → HKD,-3.805586303462505e-05,1.0000380565871683,2026-06-04 02:22:00,2026-06-04
HKD → CAD → HKD,-3.7121936519390886e-05,1.000037122625547,2026-06-04 02:23:00,2026-06-04
HKD → CAD → HKD,-6.518553167933483e-05,1.0000651876563023,2026-06-04 02:27:00,2026-06-04
CHF → HKD → USD → CHF,-7.680012681224313e-05,1.0000768030760174,2026-06-04 02:28:00,2026-06-04
HKD → CAD → HKD,-5.8136630258331934e-05,1.000058138320225,2026-06-04 02:31:00,2026-06-04
HKD → CAD → HKD,-3.670618573825557e-05,1.0000367068594185,2026-06-04 02:37:00,2026-06-04
CAD → SGD → USD → CAD,-1.6774355891202575e-05,1.0000167744965816,2026-06-04 02:38:00,2026-06-04
CAD → HKD → USD → CAD,-3.3697894993411914e-05,1.0000336984627738,2026-06-04 02:39:00,2026-06-04
