cycle,log_sum,profit_multiplier,timestamp,date
JPY → HKD → JPY,-8.74288274355095e-06,1.0000087429209628,2026-06-01 00:05:00,2026-06-01
HKD → JPY → HKD,-3.063241497702762e-05,1.0000306328841542,2026-06-01 00:08:00,2026-06-01
JPY → HKD → JPY,-4.011676967374811e-05,1.000040117574362,2026-06-01 00:10:00,2026-06-01
CAD → AUD → CAD,-3.0994794952677804e-05,1.0000309952752964,2026-06-01 00:11:00,2026-06-01
JPY → EUR → USD → JPY,-2.947442670894751e-05,1.000029474861084,2026-06-01 00:25:00,2026-06-01
USD → JPY → USD,-1.2543746302995373e-05,1.000012543824976,2026-06-01 00:34:00,2026-06-01
CHF → USD → JPY → CHF,-5.686732957002616e-05,1.0000568689465472,2026-06-01 00:58:00,2026-06-01
USD → HKD → USD,-1.275941485312515e-05,1.000012759496255,2026-06-01 01:03:00,2026-06-01
HKD → SGD → USD → HKD,-3.164313013420683e-06,1.0000031643180198,2026-06-01 01:04:00,2026-06-01
SGD → CHF → HKD → USD → SGD,-7.152705844981622e-05,1.0000715296165708,2026-06-01 01:13:00,2026-06-01
USD → EUR → USD,-3.3141945081360813e-06,1.0000033142,2026-06-01 01:16:00,2026-06-01
JPY → HKD → JPY,-1.2196567484856757e-06,1.0000012196574923,2026-06-01 01:23:00,2026-06-01
JPY → USD → JPY,-3.7620385233694265e-05,1.0000376210928892,2026-06-01 01:25:00,2026-06-01
CHF → SGD → HKD → CHF,-2.58194351887564e-06,1.000002581946852,2026-06-01 01:27:00,2026-06-01
GBP → EUR → GBP,-1.902381904597683e-05,1.000019024,2026-06-01 01:50:00,2026-06-01
CAD → AUD → CAD,-1.5037886930380565e-05,1.000015038,2026-06-01 01:51:00,2026-06-01
USD → EUR → USD,-1.0007949920426418e-05,1.000010008,2026-06-01 01:52:00,2026-06-01
HKD → GBP → USD → HKD,-2.0539983663026007e-05,1.0000205401946098,2026-06-01 01:55:00,2026-06-01
USD → JPY → USD,-6.270044538680963e-06,1.0000062700641954,2026-06-01 02:17:00,2026-06-01
HKD → CHF → USD → HKD,-1.7880283472299086e-05,1.0000178804433255,2026-06-01 02:21:00,2026-06-01
EUR → JPY → EUR,-4.128340191567048e-05,1.0000412842540871,2026-06-01 02:35:00,2026-06-01
JPY → HKD → JPY,-2.6142856289101957e-05,1.0000261431980166,2026-06-01 02:37:00,2026-06-01
USD → JPY → USD,-6.270673625685674e-06,1.0000062706932864,2026-06-01 02:48:00,2026-06-01
USD → GBP → USD,-2.8386597096752286e-05,1.000028387,2026-06-01 02:56:00,2026-06-01
HKD → CAD → SGD → HKD,-1.0098914079784138e-05,1.000010098965074,2026-06-01 03:04:00,2026-06-01
CAD → HKD → CAD,-1.5542541627722173e-05,1.0000155426624135,2026-06-01 03:05:00,2026-06-01
SGD → JPY → USD → HKD → SGD,-1.0928756146721952e-05,1.0000109288158658,2026-06-01 03:06:00,2026-06-01
AUD → CHF → USD → AUD,-1.2124297376014948e-05,1.0000121243708755,2026-06-01 03:10:00,2026-06-01
EUR → USD → JPY → EUR,-2.320579860079497e-05,1.0000232060678573,2026-06-01 03:15:00,2026-06-01
GBP → HKD → USD → GBP,-2.738579348371406e-05,1.000027386168478,2026-06-01 03:17:00,2026-06-01
AUD → JPY → USD → AUD,-1.0910817621334612e-05,1.0000109108771444,2026-06-01 03:26:00,2026-06-01
HKD → USD → CAD → HKD,-1.2332869826492399e-05,1.0000123329458765,2026-06-01 03:32:00,2026-06-01
USD → EUR → USD,-1.1317335958577202e-05,1.0000113173999998,2026-06-01 03:35:00,2026-06-01
SGD → HKD → SGD,-2.995617754297797e-05,1.0000299566262338,2026-06-01 03:40:00,2026-06-01
USD → CHF → HKD → USD,-1.2130889988443139e-05,1.000012130963568,2026-06-01 03:43:00,2026-06-01
GBP → HKD → USD → GBP,-1.0016199545326288e-06,1.0000010016204561,2026-06-01 03:44:00,2026-06-01
USD → EUR → USD,-1.419798992152721e-06,1.0000014198,2026-06-01 03:48:00,2026-06-01
GBP → USD → GBP,-2.2369749795414506e-05,1.0000223700000002,2026-06-01 03:54:00,2026-06-01
JPY → USD → GBP → HKD → JPY,-1.3781438163218418e-05,1.0000137815331276,2026-06-01 03:58:00,2026-06-01
GBP → EUR → GBP,-6.826167011930728e-05,1.000068264,2026-06-01 04:00:00,2026-06-01
CHF → USD → CHF,-7.197694974428459e-05,1.0000719795401471,2026-06-01 04:02:00,2026-06-01
HKD → JPY → USD → HKD,-3.4497488652363018e-06,1.0000034497548156,2026-06-01 04:04:00,2026-06-01
HKD → CHF → HKD,-8.45956776878154e-05,1.000084599256003,2026-06-01 04:07:00,2026-06-01
CHF → HKD → USD → CHF,-5.10955067867247e-05,1.0000510968121843,2026-06-01 04:08:00,2026-06-01
EUR → USD → EUR,-2.2962236365775546e-05,1.0000229625,2026-06-01 04:11:00,2026-06-01
HKD → GBP → HKD,-3.1889091537617986e-05,1.0000318896,2026-06-01 04:20:00,2026-06-01
USD → CHF → USD,-5.2011584552202894e-05,1.0000520129371782,2026-06-01 04:22:00,2026-06-01
JPY → CHF → HKD → JPY,-3.0152298737817773e-06,1.0000030152344197,2026-06-01 04:27:00,2026-06-01
GBP → USD → GBP,-1.2759918591842556e-05,1.00001276,2026-06-01 04:29:00,2026-06-01
AUD → CHF → HKD → AUD,-0.00010393737802327774,1.0001039427796996,2026-06-01 04:31:00,2026-06-01
JPY → EUR → JPY,-3.205613469781099e-06,1.0000032056186077,2026-06-01 04:45:00,2026-06-01
HKD → CHF → HKD,-0.00010203799856212115,1.0001020432046157,2026-06-01 04:46:00,2026-06-01
USD → GBP → USD,-1.2759918591842556e-05,1.00001276,2026-06-01 04:52:00,2026-06-01
USD → HKD → USD,-1.2759252053129444e-05,1.0000127593334527,2026-06-01 04:54:00,2026-06-01
CHF → HKD → USD → CHF,-8.278556653251723e-05,1.0000827889933521,2026-06-01 04:57:00,2026-06-01
GBP → HKD → USD → GBP,-2.774665012666988e-05,1.0000277470350685,2026-06-01 05:00:00,2026-06-01
AUD → CNH → USD → AUD,-4.745558096952429e-05,1.0000474567070035,2026-06-01 05:02:00,2026-06-01
GBP → HKD → USD → GBP,-7.85516178825052e-06,1.0000078551926401,2026-06-01 05:05:00,2026-06-01
USD → GBP → USD,-4.7404876371004434e-05,1.000047406,2026-06-01 05:11:00,2026-06-01
USD → HKD → USD,-1.275974046643924e-05,1.0000127598218722,2026-06-01 05:14:00,2026-06-01
USD → CHF → USD,-7.061060440433087e-05,1.0000706130973918,2026-06-01 05:17:00,2026-06-01
CHF → HKD → USD → GBP → CHF,-2.9309621567073785e-05,1.0000293100510982,2026-06-01 05:35:00,2026-06-01
CHF → HKD → CHF,-7.437597429937881e-06,1.000007437625089,2026-06-01 05:35:00,2026-06-01
GBP → HKD → USD → GBP,-2.036028895602282e-05,1.0000203604962281,2026-06-01 05:39:00,2026-06-01
GBP → USD → GBP,-3.906723686553093e-05,1.000039068,2026-06-01 05:42:00,2026-06-01
HKD → CHF → HKD,-7.263579231775452e-05,1.0000726384303609,2026-06-01 05:46:00,2026-06-01
GBP → USD → GBP,-3.812227333688245e-05,1.000038123,2026-06-01 05:52:00,2026-06-01
