cycle,log_sum,profit_multiplier,timestamp,date
EUR → USD → JPY → EUR,-7.09235235187046e-05,1.0000709260386513,2025-01-03 00:00:00,2025-01-03
HKD → CHF → HKD,-3.214144305818678e-05,1.0000321419595999,2025-01-03 00:05:00,2025-01-03
USD → HKD → USD,-4.440892098500626e-16,1.0000000000000004,2025-01-03 00:32:00,2025-01-03
AUD → USD → CAD → AUD,-1.7870027250219134e-05,1.00001787018692,2025-01-03 00:39:00,2025-01-03
GBP → EUR → GBP,-3.1119951577895932e-06,1.0000031120000001,2025-01-03 00:40:00,2025-01-03
USD → HKD → USD,-1.2859007413545953e-05,1.000012859090091,2025-01-03 00:42:00,2025-01-03
USD → CHF → USD,-2.756288762548187e-05,1.0000275632674853,2025-01-03 00:43:00,2025-01-03
JPY → EUR → JPY,-2.3847693457312857e-05,1.0000238479778158,2025-01-03 00:49:00,2025-01-03
HKD → USD → JPY → HKD,-2.6568303705065688e-05,1.0000265686566456,2025-01-03 00:51:00,2025-01-03
JPY → USD → JPY,-4.604593986989869e-05,1.0000460470000005,2025-01-03 00:56:00,2025-01-03
HKD → USD → JPY → HKD,-3.1050056207071464e-05,1.000031050538265,2025-01-03 01:07:00,2025-01-03
CAD → HKD → USD → JPY → CAD,-5.1875802385081826e-05,1.0000518771479578,2025-01-03 01:08:00,2025-01-03
HKD → CHF → HKD,-3.146346838667213e-05,1.0000314639633667,2025-01-03 01:10:00,2025-01-03
USD → JPY → USD,-3.179498593119945e-05,1.000031795491397,2025-01-03 01:11:00,2025-01-03
USD → JPY → EUR → USD,-3.4984101103311543e-05,1.000034984713054,2025-01-03 01:17:00,2025-01-03
JPY → USD → JPY,-1.2715124004358813e-05,1.000012715204842,2025-01-03 01:22:00,2025-01-03
CHF → USD → CHF,-6.854741562985212e-05,1.0000685497650577,2025-01-03 01:23:00,2025-01-03
AUD → CHF → EUR → AUD,-4.58347502872436e-05,1.0000458358007154,2025-01-03 01:24:00,2025-01-03
JPY → HKD → USD → JPY,-1.8916397737545054e-05,1.0000189165766538,2025-01-03 01:30:00,2025-01-03
JPY → CAD → HKD → USD → JPY,-4.625249168643819e-05,1.0000462535613495,2025-01-03 01:30:00,2025-01-03
CAD → HKD → USD → CAD,-2.8321650272777887e-05,1.0000283220513344,2025-01-03 01:46:00,2025-01-03
USD → HKD → USD,-4.440892098500626e-16,1.0000000000000004,2025-01-03 01:51:00,2025-01-03
HKD → USD → HKD,-1.414473536209826e-05,1.0000141448353994,2025-01-03 01:53:00,2025-01-03
