cycle,log_sum,profit_multiplier,timestamp,date
HKD → JPY → HKD,-4.679796128392866e-07,1.0000004679797223,2026-06-05 00:03:00,2026-06-05
EUR → AUD → EUR,-2.1373771579291656e-05,1.000021374,2026-06-05 00:08:00,2026-06-05
EUR → AUD → CHF → USD → EUR,-1.2530663515752938e-05,1.000012530742025,2026-06-05 00:22:00,2026-06-05
EUR → AUD → EUR,-4.005469779999604e-05,1.0000400555000002,2026-06-05 00:26:00,2026-06-05
HKD → SGD → HKD,-2.2959163707314545e-05,1.000022959427271,2026-06-05 00:36:00,2026-06-05
HKD → CHF → HKD,-0.00010493693979007901,1.0001049424458632,2026-06-05 00:37:00,2026-06-05
JPY → USD → JPY,-2.5005469944439085e-05,1.000025005782584,2026-06-05 00:53:00,2026-06-05
EUR → USD → JPY → EUR,-5.43205709829242e-05,1.0000543220463718,2026-06-05 00:57:00,2026-06-05
SGD → HKD → SGD,-3.524460500736737e-05,1.0000352452261057,2026-06-05 00:57:00,2026-06-05
USD → JPY → USD,-3.752063634987479e-05,1.0000375213402577,2026-06-05 01:07:00,2026-06-05
CHF → HKD → USD → EUR → AUD → CHF,-6.374603396752665e-06,1.0000063746237147,2026-06-05 01:12:00,2026-06-05
SGD → HKD → SGD,-4.299685443087675e-05,1.0000429977788088,2026-06-05 01:20:00,2026-06-05
GBP → USD → GBP,-6.2359805562683945e-06,1.000006236,2026-06-05 01:22:00,2026-06-05
HKD → CHF → HKD,-2.3700184288877324e-05,1.0000237004651404,2026-06-05 01:48:00,2026-06-05
CHF → AUD → CHF,-1.8171617531925754e-05,1.0000181717826369,2026-06-05 01:52:00,2026-06-05
USD → JPY → USD,-6.251465185513894e-06,1.0000062514847259,2026-06-05 02:00:00,2026-06-05
SGD → HKD → SGD,-8.027955606459969e-05,1.0000802827785544,2026-06-05 02:14:00,2026-06-05
JPY → USD → JPY,-2.5005938899091973e-05,1.00002500625155,2026-06-05 02:41:00,2026-06-05
EUR → USD → JPY → EUR,-7.375134076142986e-05,1.0000737540604585,2026-06-05 02:47:00,2026-06-05
JPY → EUR → USD → JPY,-1.7883141321728413e-05,1.000017883301226,2026-06-05 02:56:00,2026-06-05
JPY → HKD → JPY,-1.654064365030905e-05,1.0000165407804475,2026-06-05 03:07:00,2026-06-05
USD → JPY → USD,-1.2501718977375731e-05,1.0000125017971242,2026-06-05 03:13:00,2026-06-05
CAD → AUD → CAD,-1.0773202461816789e-05,1.000010773260493,2026-06-05 03:17:00,2026-06-05
AUD → CHF → HKD → AUD,-4.2505402070847076e-05,1.0000425063054383,2026-06-05 03:23:00,2026-06-05
USD → JPY → USD,-1.8752988749426436e-05,1.0000187531645879,2026-06-05 03:26:00,2026-06-05
AUD → EUR → GBP → AUD,-1.9641060512942676e-05,1.0000196412534,2026-06-05 03:43:00,2026-06-05
USD → GBP → USD,-5.719983640850579e-06,1.00000572,2026-06-05 03:46:00,2026-06-05
USD → JPY → USD,-1.250398563445998e-05,1.0000125040638097,2026-06-05 03:49:00,2026-06-05
EUR → USD → EUR,-6.311300833222733e-05,1.0000631150000001,2026-06-05 03:53:00,2026-06-05
USD → GBP → USD,-4.295907724566339e-05,1.00004296,2026-06-05 03:55:00,2026-06-05
HKD → CHF → HKD,-9.967003500310767e-06,1.000009967053171,2026-06-05 03:57:00,2026-06-05
CHF → AUD → CHF,-2.0890192757305748e-05,1.0000208904109589,2026-06-05 04:04:00,2026-06-05
EUR → CHF → HKD → USD → EUR,-2.6521638249482615e-05,1.0000265219899513,2026-06-05 04:05:00,2026-06-05
HKD → CHF → HKD,-9.441813063837401e-06,1.000009441857638,2026-06-05 04:05:00,2026-06-05
HKD → CHF → HKD,-1.9231035783828787e-05,1.0000192312207015,2026-06-05 04:09:00,2026-06-05
USD → EUR → USD,-5.039987299143567e-06,1.00000504,2026-06-05 04:10:00,2026-06-05
AUD → CHF → HKD → AUD,-5.290739165442204e-05,1.000052908791275,2026-06-05 04:12:00,2026-06-05
CHF → USD → JPY → CHF,-3.633165058830601e-06,1.0000036331716589,2026-06-05 04:18:00,2026-06-05
