cycle,log_sum,profit_multiplier,timestamp,date
JPY → USD → JPY,-0.00012682790738161032,1.0001268359503808,2025-01-02 00:06:00,2025-01-02
HKD → CHF → HKD,-4.360429033045676e-05,1.0000436052410113,2025-01-02 00:08:00,2025-01-02
SGD → USD → CAD → SGD,-5.2726349978396425e-05,1.0000527277400368,2025-01-02 00:16:00,2025-01-02
USD → CHF → USD,-6.562704692875121e-06,1.0000065627262276,2025-01-02 00:26:00,2025-01-02
AUD → CHF → USD → AUD,-8.945960839837341e-05,1.0000894636100284,2025-01-02 00:28:00,2025-01-02
HKD → USD → CAD → HKD,-2.0113064461146912e-06,1.0000020113084689,2025-01-02 00:34:00,2025-01-02
JPY → USD → JPY,-8.25184635431242e-05,1.0000825218682852,2025-01-02 00:38:00,2025-01-02
CAD → HKD → CAD,-5.764033313315764e-06,1.0000057640499254,2025-01-02 00:39:00,2025-01-02
USD → CAD → AUD → USD,-8.071289142694282e-05,1.0000807161488,2025-01-02 00:41:00,2025-01-02
USD → CAD → HKD → USD,-3.616522943339362e-05,1.0000361658834032,2025-01-02 00:42:00,2025-01-02
USD → CAD → SGD → USD,-3.651753234165667e-05,1.0000365181991149,2025-01-02 00:43:00,2025-01-02
HKD → CHF → HKD,-2.1713219987340437e-05,1.000021713455721,2025-01-02 00:46:00,2025-01-02
USD → CAD → HKD → USD,-1.527744754920013e-05,1.00001527756425,2025-01-02 00:52:00,2025-01-02
USD → JPY → HKD → USD,-8.179793504980992e-05,1.000081801280592,2025-01-02 00:53:00,2025-01-02
USD → CAD → SGD → USD,-2.8847876839259434e-05,1.0000288482929434,2025-01-02 00:54:00,2025-01-02
USD → GBP → USD,-2.5707669555036228e-05,1.000025708,2025-01-02 00:56:00,2025-01-02
CAD → JPY → HKD → USD → CAD,-5.5465115036512636e-05,1.0000554666532544,2025-01-02 00:57:00,2025-01-02
CAD → JPY → USD → CAD,-4.8488492758957946e-05,1.000048489668345,2025-01-02 00:59:00,2025-01-02
USD → CAD → SGD → USD,-2.3039983014817855e-05,1.0000230402484374,2025-01-02 01:00:00,2025-01-02
USD → CAD → JPY → USD,-8.753793379095987e-05,1.0000875417653476,2025-01-02 01:01:00,2025-01-02
JPY → HKD → USD → SGD → CHF → JPY,-3.267193949829661e-06,1.0000032671992871,2025-01-02 01:03:00,2025-01-02
USD → CAD → SGD → USD,-2.640982191368102e-05,1.0000264101706562,2025-01-02 01:04:00,2025-01-02
USD → CAD → SGD → USD,-1.713809046613446e-05,1.000017138237324,2025-01-02 01:09:00,2025-01-02
JPY → EUR → JPY,-2.334528281799919e-05,1.0000233455553211,2025-01-02 01:10:00,2025-01-02
CAD → JPY → USD → CAD,-0.00010710914652828363,1.0001071148829177,2025-01-02 01:11:00,2025-01-02
JPY → HKD → CAD → JPY,-1.8699715593761823e-05,1.0000186998904346,2025-01-02 01:12:00,2025-01-02
SGD → USD → CAD → JPY → EUR → SGD,-0.00020803435937460923,1.0002080560000226,2025-01-02 01:13:00,2025-01-02
JPY → EUR → JPY,-6.496478514250725e-05,1.0000649668953998,2025-01-02 01:14:00,2025-01-02
HKD → USD → CAD → JPY → HKD,-7.1672180102067e-05,1.000071674748614,2025-01-02 01:15:00,2025-01-02
CAD → JPY → HKD → USD → CAD,-1.6673907122510823e-05,1.000016674046133,2025-01-02 01:16:00,2025-01-02
USD → CAD → SGD → USD,-5.700580241495279e-05,1.0000570074272765,2025-01-02 01:17:00,2025-01-02
HKD → USD → CAD → JPY → HKD,-3.326156816385595e-05,1.000033262121336,2025-01-02 01:19:00,2025-01-02
USD → CAD → SGD → USD,-1.3442924512913068e-05,1.0000134430148695,2025-01-02 01:20:00,2025-01-02
JPY → HKD → USD → CAD → JPY,-1.5006133984307723e-05,1.000015006246577,2025-01-02 01:21:00,2025-01-02
JPY → CAD → SGD → JPY,-5.6818279722800624e-05,1.000056819893912,2025-01-02 01:24:00,2025-01-02
USD → CAD → SGD → USD,-2.5290060882962595e-05,1.0000252903806792,2025-01-02 01:24:00,2025-01-02
USD → CAD → SGD → USD,-3.314618465123653e-05,1.000033146733992,2025-01-02 01:25:00,2025-01-02
CAD → JPY → HKD → USD → CAD,-4.8197915314407425e-06,1.0000048198031466,2025-01-02 01:26:00,2025-01-02
CAD → HKD → CAD,-6.743565601730062e-05,1.0000674379298522,2025-01-02 01:29:00,2025-01-02
CAD → JPY → HKD → CAD,-2.6114439883428986e-05,1.0000261147808684,2025-01-02 01:30:00,2025-01-02
HKD → USD → CAD → HKD,-2.5546340540083534e-05,1.0000255466668506,2025-01-02 01:34:00,2025-01-02
CAD → JPY → HKD → USD → CAD,-5.005832952365008e-05,1.0000500595824626,2025-01-02 01:37:00,2025-01-02
AUD → USD → SGD → JPY → AUD,-7.769965457588013e-05,1.0000777026732721,2025-01-02 01:38:00,2025-01-02
USD → CAD → SGD → USD,-6.304526851969722e-05,1.0000630472559144,2025-01-02 01:40:00,2025-01-02
JPY → USD → JPY,-3.173444615001131e-05,1.0000317349496928,2025-01-02 01:43:00,2025-01-02
HKD → USD → CAD → HKD,-1.2003779955804816e-05,1.0000120038520015,2025-01-02 01:44:00,2025-01-02
JPY → HKD → USD → CAD → JPY,-2.543263152510189e-05,1.0000254329549372,2025-01-02 01:45:00,2025-01-02
HKD → USD → CAD → HKD,-5.129307704132557e-07,1.000000512930902,2025-01-02 01:45:00,2025-01-02
JPY → HKD → USD → CAD → JPY,-1.6668254093299417e-05,1.0000166683930094,2025-01-02 01:47:00,2025-01-02
USD → CAD → HKD → USD,-4.924523024363303e-06,1.0000049245351499,2025-01-02 01:47:00,2025-01-02
USD → CAD → HKD → USD,-3.234007216901258e-05,1.0000323405951148,2025-01-02 01:48:00,2025-01-02
USD → JPY → HKD → USD,-2.461992652502687e-05,1.000024620229598,2025-01-02 01:49:00,2025-01-02
USD → CAD → HKD → USD,-4.850993682159466e-05,1.0000485111134476,2025-01-02 01:53:00,2025-01-02
USD → CAD → JPY → USD,-2.125209945369466e-05,1.0000212523252812,2025-01-02 01:54:00,2025-01-02
USD → CHF → USD,-7.749505285729874e-05,1.0000774980556766,2025-01-02 01:55:00,2025-01-02
USD → CAD → HKD → USD,-1.661218559723121e-05,1.0000166123235803,2025-01-02 01:57:00,2025-01-02
USD → CAD → HKD → USD,-2.5154891614753705e-05,1.0000251552080017,2025-01-02 01:59:00,2025-01-02
JPY → EUR → JPY,-1.9378641373357652e-05,1.0000193788291405,2025-01-02 01:59:00,2025-01-02
HKD → USD → CAD → HKD,-2.7565634738158096e-06,1.000002756567273,2025-01-02 02:00:00,2025-01-02
USD → CAD → SGD → USD,-3.3641639155604364e-05,1.000033642205042,2025-01-02 02:01:00,2025-01-02
USD → CAD → HKD → USD,-4.899384348100444e-05,1.000048995043699,2025-01-02 02:02:00,2025-01-02
JPY → EUR → JPY,-1.486327646471608e-05,1.0000148633869237,2025-01-02 02:04:00,2025-01-02
CAD → JPY → HKD → USD → CAD,-3.165821506995181e-05,1.0000316587161966,2025-01-02 02:10:00,2025-01-02
USD → CAD → JPY → USD,-4.45345826330934e-05,1.0000445355743124,2025-01-02 02:15:00,2025-01-02
JPY → CAD → JPY,-2.867595798328182e-05,1.0000286763691424,2025-01-02 02:19:00,2025-01-02
CAD → JPY → HKD → USD → CAD,-4.1814454240396426e-05,1.000041815328477,2025-01-02 02:22:00,2025-01-02
CAD → JPY → HKD → USD → CAD,-3.610055624547748e-05,1.0000361012078784,2025-01-02 02:23:00,2025-01-02
JPY → HKD → USD → CAD → JPY,-0.00010620954637080571,1.0001062151868043,2025-01-02 02:25:00,2025-01-02
JPY → HKD → USD → CAD → JPY,-3.8119046233964227e-06,1.0000038119118888,2025-01-02 02:26:00,2025-01-02
USD → CAD → JPY → USD,-2.5555786683673087e-05,1.0000255561132356,2025-01-02 02:27:00,2025-01-02
JPY → HKD → USD → CAD → JPY,-2.933591221576659e-05,1.000029336342518,2025-01-02 02:28:00,2025-01-02
HKD → USD → CAD → JPY → HKD,-5.094284595580367e-05,1.0000509441435645,2025-01-02 02:29:00,2025-01-02
HKD → USD → AUD → JPY → HKD,-0.00012861067995334485,1.0001286189506613,2025-01-02 02:31:00,2025-01-02
EUR → CAD → JPY → EUR,-6.907555169810564e-05,1.000069077937469,2025-01-02 02:32:00,2025-01-02
USD → CAD → JPY → USD,-4.359655446639632e-05,1.00004359750481,2025-01-02 02:37:00,2025-01-02
USD → CAD → HKD → USD,-4.514876965477921e-05,1.0000451497888758,2025-01-02 02:38:00,2025-01-02
USD → CAD → JPY → HKD → USD,-4.287396766677887e-05,1.0000428748867685,2025-01-02 02:39:00,2025-01-02
HKD → USD → CAD → JPY → HKD,-3.0386728678111208e-05,1.0000303871903595,2025-01-02 02:41:00,2025-01-02
JPY → EUR → JPY,-9.924792786009107e-05,1.0000992528530985,2025-01-02 02:43:00,2025-01-02
HKD → CHF → JPY → HKD,-1.2164396186786774e-05,1.0000121644701734,2025-01-02 02:49:00,2025-01-02
CAD → SGD → USD → CAD,-3.710453047533341e-05,1.000037105218857,2025-01-02 02:53:00,2025-01-02
CAD → SGD → USD → CAD,-1.6492199816468822e-05,1.0000164923358135,2025-01-02 02:54:00,2025-01-02
CAD → HKD → USD → CAD,-3.188444923085676e-06,1.0000031884500062,2025-01-02 02:55:00,2025-01-02
