,ticker,participant_timestamp,ask_price,bid_price,open,high,low,close,volume
50,C:CADCZK,1780358399999000000,0,0,15.10849241205375,15.11434721680464,15.04598927397497,15.07574662987097,241666
51,C:MXNCHF,1780358399999000000,0,0,0.0450297163128736,0.0453802408307048,0.0450104189452113,0.0453043324458999,202777
52,C:EURTWD,1780358399999000000,0,0,36.5918436287814,36.6484092763081,36.339738519518,36.4536622258421,33313
53,C:USDPLN,1780358399999000000,0,0,3.62945,3.65295,3.6236,3.6372,112701
54,C:USDCAD,1780358399999000000,0,0,1.37963,1.38492,1.37906,1.38409,230934
55,C:CHFJPY,1780358399999000000,0,0,203.774,203.8856240680642,202.176,203.008,343513
56,C:AUDCLP,1780358399999000000,0,0,639.056196,639.84363,635.122188,639.3529404,204814
57,C:GBPAUD,1780358399999000000,0,0,1.87309,1.88158,1.81572,1.87852,257442
58,C:HKDSEK,1780358399999000000,0,0,1.178859971959341,1.19064002479813,1.175600330370659,1.187622512398598,273156
59,C:MXNDKK,1780358399999000000,0,0,0.369524654173529,0.370594585233505,0.36921381400763,0.370048804038907,179677
60,C:MYRTWD,1780358399999000000,0,0,7.9115980355119,7.92837326607818,7.86978221415608,7.90206315577078,28926
61,C:CHFPLN,1780358399999000000,0,0,4.64299,4.6435,4.5866,4.62400961696082,69953
62,C:DKKPKR,1780358399999000000,0,0,43.4043468234033,43.4744608027519,43.0998697218346,43.3457137673873,105654
63,C:SEKDKK,1780358399999000000,0,0,0.69321,0.69407,0.68763,0.68952,39929
64,C:USDCNH,1780358399999000000,0,0,6.76346,6.77086,6.75134,6.76265,228079
65,C:CHFAUD,1780358399999000000,0,0,1.780880467303035,1.781292862359501,1.76633,1.77479,256180
66,C:KYDCAD,1780358399999000000,0,0,1.655300065340616,1.661654297753967,1.654623354316917,1.660658447403668,228721
67,C:CADGBP,1780358399999000000,0,0,0.53879,0.53888,0.5361,0.5367,51223
68,C:AUDJPY,1780358399999000000,0,0,114.418,114.651,113.755,114.369,223723
69,C:DKKZAR,1780358399999000000,0,0,2.5312,2.5449,2.51869,2.53708,53086
70,C:CNHHKD,1780358399999000000,0,0,1.158441756191597,1.158894273069126,1.155854556395236,1.158592112304604,233292
71,C:AUDEUR,1780358399999000000,0,0,0.61636,0.6172,0.6142,0.61572,59393
72,C:NOKZAR,1780358399999000000,0,0,1.755442798437891,1.765791252650782,1.736351927078173,1.757030584839043,243897
73,C:ZARNGN,1780358399999000000,0,0,84.3564980028761,84.641191593905,79.8729344563285,84.0689996982091,241449
74,C:HUFCAD,1780358399999000000,0,0,0.0045400860544133,0.0045551416042992,0.0045077720207253,0.004536995910741,244234
75,C:SGDSEK,1780358399999000000,0,0,7.23336245715438,7.29157413015681,7.21197178367484,7.28067846062313,281915
76,C:GBPJPY,1780358399999000000,0,0,214.351,215.009,214.1456372350869,214.872,239042
77,C:USDEUR,1780358399999000000,0,0,0.8582,0.86153,0.8571,0.85943,45295
